Image Name,Salient Side,Apple_Left,Orange_Left,Apple_Right,Orange_Right,Sum_Left,Sum_Right,Difference,salientLeft,left is bigger,salient is bigger
flippedimg_25,Right,3,1,1,4,0,0,0,0,0,1
img_27,Left,1,4,3,1,0,0,0,1,0,0
flippedimg_9,Left,2,1,0,4,0,0,0,1,0,0
img_9,Right,0,4,2,1,0,0,0,0,0,1
img_10,Left,0,4,4,1,0,0,0,1,0,0
flippedimg_53,Right,0,2,4,0,0,0,0,0,0,1
img_53,Left,4,0,0,2,0,0,0,1,0,0
img_28,Left,0,3,3,1,0,0,0,1,0,0
img_29,Right,0,3,3,1,0,0,0,0,0,1
img_13,Left,1,2,3,1,0,0,0,1,0,0
flippedimg_54,Right,2,2,4,1,0,0,0,0,0,1
flippedimg_6,Right,3,2,1,3,0,0,0,0,0,1
flippedimg_13,Right,3,1,1,2,0,0,0,0,0,1
flippedimg_18,Right,3,1,1,2,0,0,0,0,0,1
img_6,Left,1,3,3,2,0,0,0,1,0,0
flippedimg_21,Right,3,2,1,3,0,0,0,0,0,1
img_12,Left,1,2,3,1,0,0,0,1,0,0
img_54,Left,4,1,2,2,0,0,0,1,0,0
img_52,Left,2,2,0,3,0,0,0,1,0,0
flippedimg_52,Right,0,3,2,2,0,0,0,0,0,1